,Rank_2019,Rank_2018,Firm,Firm_Type,Total_2018_Revenue($ MILL.)
0,1,1,"BECHTEL, Reston, Va.",EC,6594.0
1,2,2,"AECOM, Los Angeles, Calif.",EAC,3693.5
2,3,3,"JACOBS, Dallas, Texas",EAC,2189.7
3,4,6,"JLL, Chicago, Ill.",CM,1880.0
4,5,4,"PARSONS CORP., Centreville, Va.",EC,1591.4
5,6,5,"CBRE INC., Los Angeles, Calif.",AE,1508.1
6,7,7,"WSP USA, New York, N.Y.",E,846.6
7,8,8,"HILL INTERNATIONAL INC., Philadelphia, Pa.",CM,657.4
8,9,9,"SNC-LAVALIN INC., Bothell, Wash.",EC,466.4
9,10,12,"ARCADIS N.A./CALLISONRTKL, Highlands Ranch, Colo.",EA,271.0
10,11,10,"THE LIRO GROUP, Syosset, N.Y.",EA,235.0
11,12,17,"ATLAS TECHNICAL CONSULTANTS, Austin, Texas",E,224.9
12,13,20,"CUMMING, Los Angeles, Calif.",CM,153.3
13,14,21,"TURNER CORP., New York, N.Y.",EC,127.5
14,15,18,"BLACK & VEATCH, Overland Park, Kan.",EC,126.2
15,16,13,"HDR, Omaha, Neb.",EA,125.4
16,17,26,"TURNER & TOWNSEND INC., New York, N.Y.",CM,123.1
17,18,15,"BURNS & MCDONNELL, Kansas City, Mo.",EAC,120.5
18,19,23,"KLEINFELDER, San Diego, Calif.",EA,106.5
19,20,**,"MWH CONSTRUCTORS INC., Broomfield, Ore.",EC,103.5
20,21,22,"CDM SMITH, Boston, Mass.",EC,99.4
21,22,27,"MICHAEL BAKER INTERNATIONAL, Pittsburgh, Pa.",EA,91.1
22,23,32,"KITCHELL CORP., Phoenix, Ariz.",EC,87.0
23,24,28,"VANIR CONSTRUCTION MGMT., Sacramento, Calif.",CM,86.3
24,25,14,"GILBANE BUILDING CO., Providence, R.I.",C,77.4
25,26,30,"CAROLLO ENGINEERS INC., Walnut Creek, Calif.",E,77.4
26,27,31,"THE VERTEX COS. INC., Weymouth, Mass.",CM,71.9
27,28,47,"STANTEC INC., Irvine, Calif.",EAL,67.2
28,29,46,"MARKON SOLUTIONS, Falls Church, Va.",CM,64.6
29,30,**,"THE YATES COS. INC., Philadelphia, Miss.",EC,63.8
30,31,39,"SEVAN MULTI-SITE SOLUTIONS, Downers Grove, Ill.",AE,60.8
31,32,**,"MG2, Seattle, Wash.",A,60.7
32,33,44,"LECHASE CONSTRUCTION SERVICES, Rochester, N.Y.",C,58.3
33,34,48,"CORDOBA CORP., Los Angeles, Calif.",E,57.6
34,35,33,"KRAUS-ANDERSON CONSTR., Minneapolis, Minn.",C,50.0
35,36,35,"MCDONOUGH BOLYARD PECK INC. (MBP), Fairfax, Va.",CM,45.6
36,37,34,"PMA CONSULTANTS LLC, Detroit, Mich.",CM,45.4
37,38,36,"WOOD, Houston, Texas",EC,44.6
38,39,**,"BOWERS + KUBOTA CONSULTING, Kailua, Hawaii",AE,42.1
39,40,37,"MARK G. ANDERSON CONSULTANTS, Washington, D.C.",CM,40.5
40,41,52,"CALIBURN INTERNATIONAL LLC, Reston, Va.",CM,40.4
41,42,43,"LEA+ELLIOTT INC., Grand Prairie, Texas",EA,35.0
42,43,**,"NEWMARK KNIGHT FRANK, New York, N.Y.",PM,34.6
43,44,**,"INFRASTRUCTURE CONSULT. & ENG’G, Columbia, S.C.",E,34.2
44,45,50,"HARRIS & ASSOCIATES INC., Concord, Calif.",E,33.8
45,46,51,"METRIC ENGINEERING INC., Miami, Fla.",E,33.7
46,47,**,"ANSER ADVISORY, Cypress, Calif.",CM,33.4
47,48,63,"MCKISSACK & MCKISSACK (WASH.), Washington, D.C.",AE,33.1
48,49,55,"CSA GROUP, New York, N.Y.",EA,31.6
49,50,62,"GAFCON INC., San Diego, Calif.",CM,31.0
50,51,89,"OAC SERVICES INC., Seattle, Wash.",EA,30.7
51,52,45,"CARDNO INC., Lone Tree, Colo.",E,30.5
52,53,41,"EISMAN & RUSSO INC., Jacksonville, Fla.",CM,30.1
53,54,49,"BRAILSFORD & DUNLAVEY INC., Washington, D.C.",CM,29.3
54,55,**,"GHIRARDELLI ASSOCIATES INC., San Jose, Calif.",CM,28.0
55,56,53,"BOSWELL ENGINEERING INC., South Hackensack, N.J.",E,27.3
56,57,** ,"WALBRIDGE, Detroit, Mich.",EA,27.2
57,58,79,"HARGROVE ENGINEERS+CONSTRUCTORS, Mobile, Ala.",E,27.1
58,59,68,"BMWC CONSTRUCTORS INC., Indianapolis, Ind.",C,27.0
59,60,88,"PSOMAS, Los Angeles, Calif.",E,27.0
60,61,54,"ALPHA CORP., Dulles, Va.",CM,25.4
61,62,**,"GREENMAN-PEDERSEN INC., Babylon, N.Y.",E,25.2
62,63,** ,"AMERICAN CONSTRUCTORS, Cedar Park, Texas",C,25.0
63,64,70,"HUNT, GUILLOT & ASSOCIATES LLC, Ruston, La.",E,24.7
64,65,58,"ON-BOARD ENGINEERING CORP., East Windsor, N.J.",E,24.7
65,66,66,"HPM, Birmingham, Ala.",CM,23.0
66,67,87,"COTTER CONSULTING INC., Chicago, Ill.",CM,22.9
67,68,60,"FREESE AND NICHOLS INC., Fort Worth, Texas",EA,22.9
68,69,64,"THE WEITZ CO. & AFFILIATES, Des Moines, Iowa",EC,22.7
69,70,57,"DESIGN SYSTEMS INC., Farmington Hills, Mich.",E,22.1
70,71,24,"LENDLEASE, New York, N.Y.",C,21.2
71,72,**,"ASRC INDUSTRIAL SERVICES, Concord, Calif.",ENV,20.3
72,73,65,"ATCS PLC, Herndon, Va.",E,20.0
73,74,**,"IHC CONSTRUCTION COS. LLC, Elgin, Ill.",C,20.0
74,75,56,"KS ENGINEERS PC, Newark, N.J.",E,20.0
75,76,**,"SACHSE CONSTRUCTION & DEVELOP., Detroit, Mich.",C,20.0
76,77,69,"TETRA TECH INC., Pasadena, Calif.",E,20.0
77,78,73,"BALFOUR BEATTY US, Dallas, Texas",C,20.0
78,79,**,"DHS CONSULTING INC., Santa Ana, Calif.",CM,19.8
79,80,80,"C2G INTERNATIONAL LLC, Aliso Viejo, Calif.",CM,18.5
80,81,99,"CPH INC., Sanford, Fla.",EA,17.9
